stop_name,stop_lat,stop_lon,icon
Station Radisson - Terminus Radisson (C),45.589696,-73.53989200000001,golf
STATION HONORÉ-BEAUGRAND,45.596571999999995,-73.535376,pin
Station Honoré-Beaugrand,45.596571999999995,-73.535376,circle
Station Honoré-Beaugrand - Édicule Sherbrooke Sud (C),45.596593,-73.53463,golf
Station Honoré-Beaugrand - Édicule Sherbrooke Nord (B),45.596868,-73.535039,golf
Station Honoré-Beaugrand - Édicule Honoré-Beaugrand Nord (A),45.596957,-73.536332,golf
STATION CÔTE-VERTU,45.514237,-73.682757,pin
Station Côte-Vertu,45.514237,-73.682757,circle
Station Côte-Vertu - Édicule Mac Donald (C),45.513505,-73.68251,golf
Station Côte-Vertu - Édicule Sud (B),45.513853000000005,-73.682969,golf
Station Côte-Vertu - Édicule Nord (A),45.514222,-73.683087,golf
STATION DU COLLÈGE,45.509258,-73.674796,pin
Station Du Collège,45.509258,-73.674796,circle
Station Du Collège - Édicule Cartier (A),45.508851,-73.672546,golf
Station Du Collège (B),45.509446000000004,-73.67478100000001,golf
STATION DE LA SAVANE,45.500051,-73.66153800000001,pin
Station De la Savane,45.500051,-73.66153800000001,circle
Station De la Savane,45.50034,-73.661793,golf
STATION NAMUR,45.494642999999996,-73.652828,pin
Station Namur,45.494642999999996,-73.652828,circle
Station Namur,45.49497,-73.65310799999999,golf
STATION PLAMONDON,45.494644,-73.63826,pin
Station Plamondon,45.494644,-73.63826,circle
Station Plamondon (A),45.495412,-73.640883,golf
Station Plamondon - Édicule Van Horne (B),45.494344,-73.637885,golf
STATION CÔTE-STE-CATHERINE,45.492356,-73.6331,pin
Station Côte-Sainte-Catherine,45.492356,-73.6331,circle
Station Côte Sainte-Catherine,45.492385,-73.632837,golf
STATION SNOWDON,45.485433,-73.62773,pin
Station Snowdon 2,45.485433,-73.62773,circle
Station Snowdon 5,45.485403000000005,-73.62775699999999,circle
Station Snowdon,45.485405,-73.627939,golf
STATION VILLA-MARIA,45.479709,-73.619821,pin
Station Villa-Maria,45.479709,-73.619821,circle
Station Villa-Maria,45.479501,-73.619884,golf
STATION VENDÔME,45.474101,-73.603706,pin
Station Vendôme,45.474101,-73.603706,circle
Station Vendôme - Édicule Ouest,45.473912,-73.604117,golf
Station Vendôme - Édicule Est,45.474292,-73.603569,golf
Station Vendôme - Édicule CUSM,45.473085,-73.603153,golf
Station Vendôme - Édicule CUSM,45.473407,-73.601792,golf
STATION PLACE ST-HENRI,45.47732,-73.586629,pin
Station Place-Saint-Henri,45.47732,-73.586629,circle
Station Place-Saint-Henri - Édicule St-Ferdinand (A),45.477199,-73.586634,golf
Station Place-Saint-Henri - Édicule St-Jacques Sud (B),45.477533,-73.58570999999999,golf
Station Place-Saint-Henri - Édicule St-Jacques Nord (C),45.477565999999996,-73.586247,golf
STATION GEORGES-VANIER,45.488896999999994,-73.576852,pin
Station Georges-Vanier,45.488896999999994,-73.576852,circle
Station Georges-Vanier,45.488953,-73.57644599999999,golf
STATION LUCIEN-L'ALLIER,45.494745,-73.571074,pin
Station Lucien-L'Allier,45.494745,-73.571074,circle
Station Lucien-L'Allier,45.494912,-73.57109,golf
STATION BONAVENTURE,45.498086,-73.567235,pin
Station Bonaventure,45.498086,-73.567235,circle
Station Bonaventure - Canadiens-de-Montréal (B),45.497315,-73.56900999999999,golf
Station Bonaventure - Édicule De la Cathédrale (A),45.498069,-73.566947,golf
STATION SQUARE VICTORIA-OACI,45.501937,-73.563118,pin
Station Square-Victoria–OACI,45.501937,-73.563118,circle
Station Square-Victoria-OACI - Édicule Viger (C),45.501498,-73.563703,golf
Station Square-Victoria-OACI - Édicule St-Antoine (A),45.50172,-73.562088,golf
Station Square-Victoria-OACI - Édicule St-Jacques (B),45.501194,-73.560755,golf
Station Square-Victoria-OACI - Édicule Belmont (D),45.502357,-73.565113,golf
STATION PLACE D'ARMES,45.506347999999996,-73.55954799999999,pin
Station Place-d'Armes,45.506347999999996,-73.55954799999999,circle
Station Place-d'Armes - Édicule St-Urbain,45.506165,-73.559729,golf
Station Place-d'Armes - Édicule Viger,45.505936,-73.56098399999999,golf
STATION CHAMPS DE MARS,45.510047,-73.556596,pin
Station Champ-de-Mars,45.510047,-73.556596,circle
Station Champ-de-Mars,45.510191999999996,-73.556331,golf
STATION SHERBROOKE,45.519059999999996,-73.56921700000001,pin
Station Sherbrooke,45.519059999999996,-73.56921700000001,circle
Station Sherbrooke - Édicule Berri Est,45.518901,-73.568524,golf
Station Sherbrooke - Édicule Berri Ouest,45.518334,-73.568208,golf
STATION MONT-ROYAL,45.524931,-73.581959,pin
Station Mont-Royal,45.524931,-73.581959,circle
Station Mont-Royal,45.524556,-73.581766,golf
STATION LAURIER,45.527399,-73.586907,pin
Station Laurier,45.527399,-73.586907,circle
Station Laurier - Édicule St-Joseph/Gilford (A),45.527042,-73.586242,golf
Station Laurier - Édicule avenue Laurier (B),45.5278,-73.58892800000001,golf
STATION ROSEMONT,45.531733,-73.59778,pin
Station Rosemont,45.531733,-73.59778,circle
Station Rosemont,45.531293,-73.59796700000001,golf
STATION BEAUBIEN,45.535354,-73.604688,pin
Station Beaubien,45.535354,-73.604688,circle
Station Beaubien,45.535584,-73.604507,golf
STATION JEAN-TALON,45.539056,-73.613902,pin
Station Jean-Talon 2,45.539056,-73.613902,circle
Station Jean-Talon 5,45.539152,-73.61385600000001,circle
Station Jean-Talon - Édicule Sud (C),45.5387,-73.61391,golf
Station Jean-Talon - Plaza St-Hubert (D),45.540261,-73.613168,golf
Station Jean-Talon - Tour Jean-Talon (A),45.539382,-73.613439,golf
Station Jean-Talon - Édicule Nord (B),45.538678000000004,-73.614316,golf
STATION JARRY,45.543191,-73.628765,pin
Station Jarry,45.543191,-73.628765,circle
Station Jarry,45.543421,-73.628529,golf
STATION CRÉMAZIE,45.546082,-73.639052,pin
Station Crémazie,45.546082,-73.639052,circle
Station Crémazie - Édicule Crémazie Sud (B),45.545715,-73.638037,golf
Station Crémazie - Terminus Crémazie (A),45.546186,-73.639303,golf
Station Crémazie - Édicule Crémazie Nord (A),45.545968,-73.63877600000001,golf
STATION SAUVÉ,45.550757,-73.656017,pin
Station Sauvé,45.550757,-73.656017,circle
Station Sauvé - Édicule Nord (B),45.550713,-73.656464,golf
Station Sauvé - Édicule Sud (A),45.55064,-73.655907,golf
STATION HENRI-BOURASSA,45.555277000000004,-73.668172,pin
Station Henri-Bourassa,45.555277000000004,-73.668172,circle
Station Henri-Bourassa - Édicule rue Berri (A),45.554247,-73.668486,golf
Station Henri-Bourassa - Édicule Nord (D),45.555607,-73.668225,golf
Station Henri-Bourassa - Édicule Sud (B),45.556121999999995,-73.667407,golf
Station Henri-Bourassa - Henri-Bourassa (C),45.555733000000004,-73.667284,golf
STATION CARTIER,45.559996999999996,-73.68231,pin
Station Cartier,45.559996999999996,-73.68231,circle
Station Cartier - Terminus Cartier (A),45.560398,-73.681899,golf
Station Cartier - Édicule boul. Cartier (B),45.561402,-73.681416,golf
STATION DE LA CONCORDE,45.560697999999995,-73.709389,pin
Station De la Concorde,45.560697999999995,-73.709389,circle
Station De la Concorde,45.560503999999995,-73.70959599999999,golf
STATION MONTMORENCY,45.558436,-73.722459,pin
Station Montmorency,45.558436,-73.722459,circle
Station Montmorency,45.558386999999996,-73.721622,golf
STATION JEAN-DRAPEAU,45.512429,-73.53312700000001,pin
Station Jean-Drapeau,45.512429,-73.53312700000001,circle
Station Jean-Drapeau,45.512289,-73.533371,golf
STATION LONGUEUIL- U. de SHERBROOKE,45.52489,-73.522098,pin
Station Longueuil–Université-de-Sherbrooke,45.52489,-73.522098,circle
Station Longueuil–U.-de-Sherbrooke - Édicule Longueuil-U-de-S,45.525191,-73.521961,golf
Station Longueuil–U.-de-Sherbrooke - Édicule Terminus Longueuil,45.524631,-73.521989,golf
Station Longueuil–U.-de-Sherbrooke - Édicule De Sérigny,45.524710999999996,-73.522632,golf
STATION CÔTE-DES-NEIGES,45.496846000000005,-73.623386,pin
Station Côte-des-Neiges,45.496846000000005,-73.623386,circle
Station Côte-des-Neiges - Édicule Ouest (A),45.496306,-73.622534,golf
Station Côte-des-Neiges - Édicule Est (B),45.496759999999995,-73.622937,golf
STATION UNIVERSITÉ DE MONTREAL,45.503188,-73.617699,pin
Station Université-de-Montréal,45.503188,-73.617699,circle
Station Université-de-Montréal - Édicule Louis-Colin (B),45.502757,-73.618298,golf
Station Université-de-Montréal - Édicule Édouard-Montpetit (A),45.503382,-73.617767,golf
Station Université-de-Montréal (C),45.503582,-73.61725600000001,golf
STATION ÉDOUARD-MONTPETIT,45.50992,-73.612858,pin
Station Édouard-Montpetit,45.50992,-73.612858,circle
Station Édouard-Montpetit - Édicule Vincent-D'Indy (B),45.510155,-73.612554,golf
Station Édouard-Montpetit - Édicule boul. Édouard-Montpetit (A),45.509640000000005,-73.612785,golf
STATION OUTREMONT,45.52037,-73.614976,pin
Station Outremont,45.52037,-73.614976,circle
Station Outremont,45.520103000000006,-73.615099,golf
STATION ACADIE,45.523458000000005,-73.623257,pin
Station Acadie,45.523458000000005,-73.623257,circle
Station Acadie - Édicule Beaumont (A),45.523679,-73.623194,golf
Station Acadie (B),45.523391,-73.623494,golf
STATION  DU PARC,45.530177,-73.62455899999999,pin
Station Parc,45.530177,-73.62455899999999,circle
Station Parc,45.530223,-73.623932,golf
STATION DE CASTELNAU,45.535437,-73.619873,pin
Station De Castelnau,45.535437,-73.619873,circle
Station De Castelnau - Édicule St-Laurent Est (B),45.53561,-73.619912,golf
Station De Castelnau - Édicule St-Laurent Ouest (A),45.535216999999996,-73.62,golf
STATION FABRE,45.546753,-73.608106,pin
Station Fabre,45.546753,-73.608106,circle
Station Fabre - Édicule Papineau (A),45.547864000000004,-73.60735600000001,golf
Station Fabre (B),45.546469,-73.608221,golf
STATION IBERVILLE,45.553618,-73.601988,pin
Station D'Iberville,45.553618,-73.601988,circle
Station D'Iberville - Édicule Iberville (A),45.55377,-73.60208100000001,golf
Station D'Iberville - Édicule Louis-Hébert (B),45.552634999999995,-73.602713,golf
STATION ST-MICHEL,45.55956,-73.600002,pin
Station Saint-Michel,45.55956,-73.600002,circle
Station Saint-Michel - Édicule Est (A),45.559694,-73.59983299999999,golf
Station Saint-Michel - Édicule Ouest (B),45.559284000000005,-73.599876,golf
Sainte-Anne / Sainte-Marie,45.402727,-73.947503,circle
Robert / Cluny,45.580403999999994,-73.607776,circle
Gare Rivière-des-Prairies,45.661592,-73.538285,circle
Henri-Bourassa / 6e Avenue,45.617173,-73.593262,circle
Henri-Bourassa / 6e Avenue,45.617098,-73.593826,circle
Gare Rivière-des-Prairies,45.661811,-73.538735,circle
YUL Aéroport Montréal-Trudeau / Transport Canada,45.454046999999996,-73.751132,circle
Roméo-Vachon / No 700,45.453912,-73.751111,circle
Mc Millan / No 555,45.453117,-73.740984,circle
Henri-Bourassa / Pie-IX,45.595455,-73.642639,circle
Pie-IX / No 11209,45.594972,-73.641402,circle
Carrefour Henri-Bourassa / Pie-IX,45.596552,-73.643007,circle
Carrefour Henri-Bourassa / Pie-IX,45.596821000000006,-73.64240799999999,circle
Gare Saint-Léonard-Montréal-Nord,45.600631,-73.613584,circle
Gare Saint-Léonard-Montréal-Nord,45.600558,-73.613056,circle
des Futailles / Notre-Dame,45.581189,-73.512617,circle
Lafleur / Centrale,45.423308,-73.650678,circle
Villeray / 20e Avenue,45.567274,-73.59831,circle
Marc-Cantin / Fernand-Seguin,45.480672999999996,-73.543235,circle
Marc-Cantin / Studios Mel's,45.478286,-73.544397,circle
Stade de soccer de Montréal (Papineau / Lecocq),45.561864,-73.638326,circle
Centre univ. de santé McGill (Décarie/CUSM),45.471740000000004,-73.60323299999999,circle
Centre universitaire de santé McGill (CUSM),45.473158000000005,-73.601954,circle
Station Lionel-Groulx (Saint-Jacques / Atwater),45.483340000000005,-73.579463,circle
Gaétan-Laberge / Gilberte-Dubé,45.470171,-73.562332,circle
Gaétan-Laberge / Rhéaume,45.467863,-73.56295300000001,circle
Station de l'Église,45.462796999999995,-73.56629699999999,circle
Gaétan-Laberge / de l'Église,45.463057,-73.562467,circle
Hôpital de Verdun (G.-Laberge / Hickson),45.46506,-73.562715,circle
Stade Ronald-Piché (Gaétan-Laberge / No 3750),45.466602,-73.562308,circle
Gaétan-Laberge / Rhéaume,45.467701,-73.562688,circle
Gaétan-Laberge / Gilberte-Dubé,45.470078,-73.562124,circle
Stade Ronald-Piché (Gaétan-Laberge / No 3750),45.465917,-73.56254799999999,circle
Hôpital de Verdun (G.-Laberge / Hickson),45.464875,-73.562979,circle
Saint-Louis / Gohier,45.50727,-73.673282,circle
Fairview / Brunswick,45.462679,-73.837396,circle
Rosemont / Chambord,45.537208,-73.592789,circle
Gare Pointe-aux-Trembles,45.675776,-73.502961,circle
Gare Pointe-aux-Trembles,45.673552,-73.50350300000001,circle
Pie-IX / Ontario,45.550297,-73.541593,circle
Saint-Rémi / Cabot,45.464944,-73.58749399999999,circle
Saint-Rémi / Cabot,45.464878000000006,-73.58730600000001,circle
des Sciences / Ray-Lawson,45.616438,-73.560448,circle
Maurice-Duplessis / Lacordaire,45.611899,-73.625056,circle
Viau / Hochelaga,45.561273,-73.54202,circle
Viau / de Rouen,45.560342,-73.539165,circle
Viau / Ontario,45.559199,-73.535675,circle
Viau / La Fontaine,45.558505,-73.533564,circle
Viau / Adam,45.557881,-73.53166,circle
Viau / Sainte-Catherine,45.557322,-73.529954,circle
Upper-Lachine / Harvard,45.468509000000005,-73.610288,circle
Papineau / Lecocq,45.561536,-73.638177,circle
Transcanadienne / No 18101,45.446474,-73.872125,circle
Upper-Lachine / Oxford,45.469362,-73.609142,circle
Angrignon / Saint-Patrick,45.451108000000005,-73.62368000000001,circle
Gare Rivière-des-Prairies,45.661934,-73.538434,circle
Gare Rivière-des-Prairies,45.661782,-73.538248,circle
Station Berri-UQAM (1621 rue Berri),45.515764000000004,-73.561823,circle
William-Tremblay / André-Laurendeau,45.543337,-73.564094,circle
Sherbrooke / Préfontaine,45.543316,-73.557535,circle
Station Préfontaine (Édicule Sud),45.541962,-73.554292,circle
Hochelaga / Dézéry,45.542778000000006,-73.553794,circle
Saint-Germain / Sherbrooke,45.54456,-73.55643,circle
de Louisbourg / Ranger,45.525255,-73.71043399999999,circle
Boucle Thimens,45.501661,-73.707814,circle
YUL Aéroport Montréal-Trudeau,45.456377,-73.751613,circle
Jarry / de Bordeaux,45.555144,-73.617419,circle
Gare Bois-Franc (Laurentien/No 11800),45.523594,-73.709974,circle
Cavendish / des Outardes,45.511062,-73.718818,circle
Cavendish / Ernest-Hemingway,45.508132,-73.716027,circle
Cavendish / Poirier,45.505425,-73.71167,circle
Cavendish / Poirier,45.506263,-73.712577,circle
Cavendish / Ernest-Hemingway,45.508047,-73.71544399999999,circle
Cavendish / des Outardes,45.510816999999996,-73.718553,circle
du Beaver Hall / Viger,45.50196,-73.563397,circle
Saint-Antoine / Robert-Bourassa,45.499435999999996,-73.56387099999999,circle
Terminus Angrignon,45.446422999999996,-73.602744,circle
Maurice-Duplessis / Saint-Jean-Baptiste,45.659542,-73.541353,circle
Notre-Dame / Gadbois,45.468090999999994,-73.596907,circle
École James-Lyng (Notre-Dame / de Carillon),45.468311,-73.596731,circle
Couture / Léonard,45.604046000000004,-73.599361,circle
Couture / Léonard,45.604498,-73.598815,circle
Gare du Canal (Saint-Joseph / Victoria),45.438590000000005,-73.656423,circle
Gare du Canal (Saint-Joseph / Victoria),45.438725,-73.656361,circle
Station LaSalle (Caisse / de Rushbrooke),45.470684999999996,-73.56599200000001,circle
Station Rosemont,45.531182,-73.597503,circle
Station Côte-Vertu,45.514253000000004,-73.683583,circle
Atwater / Saint-Jacques,45.484024,-73.579844,circle
De Maisonneuve / Atateken,45.518244,-73.558532,circle
Kieran / Douglas-B.-Floreani,45.496443,-73.762489,circle
Station Angrignon (des Trinitaires / Lamont),45.446593,-73.601897,circle
Côte-Sainte-Catherine / du Mont-Royal,45.516116,-73.5909,circle
Saint-Joseph / du Parc,45.519252,-73.59404599999999,circle
Station Mont-Royal (Berri / du Mont-Royal),45.524644,-73.58139399999999,circle
Station Snowdon (Queen-Mary / Circle),45.485476,-73.627472,circle
Saint-Joseph / Jeanne-Mance,45.519467,-73.59415600000001,circle
Gare Rivière-des-Prairies,45.661553999999995,-73.538023,circle
de l'Île-des-Soeurs / de la Grande-Allée,45.463587,-73.545796,circle
René-Lévesque / Levert,45.468292,-73.53582,circle
du Commerce / Levert,45.467787,-73.53849,circle
du Commerce / Levert,45.468483,-73.53909499999999,circle
du Commerce / No 40,45.467999,-73.54429499999999,circle
Marguerite-Bourgeoys / des Passereaux,45.460991,-73.548199,circle
de l'Île-des-Soeurs / Parc de la Fontaine,45.463295,-73.545489,circle
de l'Assomption / No 5105,45.572018,-73.555378,circle
de l'Assomption / No 5150,45.571946999999994,-73.555761,circle
Jean-Bourdon / Louis-Jadon,45.525238,-73.730101,circle
Jean-Bourdon / de Beauséjour,45.523740999999994,-73.732263,circle
Stuart-Graham / Rodolphe-Pagé,45.45136,-73.758202,circle
Stuart-Graham / Rodolphe-Pagé,45.451347999999996,-73.758337,circle
Stuart-Graham / Rodolphe-Pagé,45.451192999999996,-73.75814,circle
Stuart-Graham / Rodolphe-Pagé,45.451173,-73.758285,circle
Gare Rivière-des-Prairies,45.662056,-73.538235,circle
Gare Rivière-des-Prairies,45.662172,-73.53805799999999,circle
Station Cadillac (Sherbrooke / De Cadillac),45.577079,-73.546384,circle
Woodland / de Verdun,45.452471,-73.572639,circle
de la Montagne / des Canadiens-de-Montréal,45.495832,-73.570657,circle
Beurling / Rolland,45.445968,-73.584311,circle
Henri-Duhamel / de Verdun,45.472335,-73.570128,circle
Saint-Joseph / Molson,45.542806,-73.572496,circle
Masson / Molson,45.544345,-73.577078,circle
Salley / Tittley,45.424316999999995,-73.62755899999999,circle
Pie-IX / Ontario,45.550557,-73.54168100000001,circle
Sauvé / Papineau,45.566047999999995,-73.647459,circle
32e Avenue / Joseph-Dubreuil,45.464973,-73.71191800000001,circle
32e Avenue / No 2111,45.462951000000004,-73.709337,circle
Dollard / No 2695,45.438029,-73.64280500000001,circle
Station Laurier (Saint-Joseph / Rivard),45.526917,-73.587108,circle
Gare Saint-Léonard-Montréal-Nord,45.601832,-73.615004,circle
Papineau / Charland,45.564316999999996,-73.644584,circle
Sherbrooke / 81e Avenue,45.689699,-73.498137,circle
Sainte-Anne / Perrault,45.4027,-73.945266,circle
Ontario / Saint-Dominique,45.512071,-73.566409,circle
Henri-Bourassa / No 5600,45.517813000000004,-73.71542600000001,circle
Gare Pointe-aux-Trembles,45.674646,-73.50550600000001,circle
Prince-Arthur / 43e Avenue,45.666098999999996,-73.510838,circle
Saint-Jean-Baptiste / Industriel,45.644649,-73.51866600000001,circle
Sherbrooke / Saint-Jean-Baptiste,45.644657,-73.513411,circle
42e Avenue / Prince-Arthur,45.665624,-73.510699,circle
Saint-Jean-Baptiste / Henri-Bourassa,45.652012,-73.535853,circle
Robert-Chevalier / Sherbrooke,45.655582,-73.510627,circle
Bridge / Wellington,45.487126,-73.555972,circle
YUL Aéroport Montréal-Trudeau,45.455376,-73.751779,circle
YUL Aéroport Montréal-Trudeau,45.455269,-73.751746,circle
40e Avenue / Sherbrooke,45.663619,-73.507482,circle
Saint-Jean-Baptiste / Industriel,45.64451,-73.519071,circle
40e Avenue / Beaudry,45.663775,-73.507923,circle
Maurice-Duplessis / Olivier-Lejeune,45.654623,-73.552656,circle
Notre-Dame / Guy,45.489959000000006,-73.567233,circle
de la Montagne / Ottawa,45.492014000000005,-73.561145,circle
de la Montagne / du Square-Gallery,45.491756,-73.558727,circle
de la Montagne / Wellington,45.491887,-73.559023,circle
de la Montagne / Ottawa,45.492056,-73.560731,circle
de la Montagne / William,45.492311,-73.562925,circle
de la Montagne / Barré,45.492711,-73.56429200000001,circle
Notre-Dame / de Versailles,45.491514,-73.566079,circle
Notre-Dame / Guy,45.49026,-73.567165,circle
Camillien-Houde / Remembrance,45.503421,-73.593964,circle
Henri-Bourassa / du Golf,45.628006,-73.577415,circle
Sherbrooke / Saint-Jean-Baptiste,45.644182,-73.513899,circle
Lajeunesse / Émile-Journault,45.547571999999995,-73.641663,circle
De Contrecoeur / Marie-Ange-Bouchard,45.612435,-73.529441,circle
De Contrecoeur / Marie-Ange-Bouchard,45.612494,-73.529041,circle
Gouin / Pitfield,45.50803,-73.760017,circle
Wellington / Prince,45.496656,-73.555554,circle
35e Avenue / 40e Avenue,45.421535,-73.61540600000001,circle
Bourbonnière / du Mont-Royal,45.553538,-73.560271,circle
Bourbonnière / Saint-Joseph,45.554751,-73.564058,circle
Bourbonnière / Laurier,45.555820000000004,-73.56740400000001,circle
Bourbonnière / Masson,45.556629,-73.56991500000001,circle
Bourbonnière / Dandurand,45.557459,-73.572488,circle
23e Avenue / de Bellechasse,45.562059999999995,-73.575185,circle
23e Avenue / Beaubien,45.563226,-73.578935,circle
23e Avenue / Saint-Zotique,45.564407,-73.58274200000001,circle
24e Avenue / Jarry,45.572454,-73.601516,circle
24e Avenue / D'Hérelle,45.573794,-73.60422,circle
24e Avenue / Jean-Rivard,45.57497,-73.606889,circle
24e Avenue / Robert,45.576153000000005,-73.609574,circle
24e Avenue / Denis-Papin,45.577653999999995,-73.61297900000001,circle
24e Avenue / 39e Rue,45.578838,-73.615663,circle
25e Avenue / 43e Rue,45.580946000000004,-73.61778100000001,circle
