"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 00:00","2021","04","01","00:00","4.8","","0.1","","72","","0.0","","35","","6","","","","100.57","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 01:00","2021","04","01","01:00","4.6","","-0.6","","69","","0.0","","36","","8","","","","100.52","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 02:00","2021","04","01","02:00","4.2","","-0.7","","70","","0.0","","36","","8","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 03:00","2021","04","01","03:00","3.7","","-0.5","","74","","0.0","","36","","8","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 04:00","2021","04","01","04:00","3.5","","-0.6","","74","","0.0","","2","","11","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 05:00","2021","04","01","05:00","1.3","","-0.4","","88","","0.3","","2","","16","","","","100.38","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 06:00","2021","04","01","06:00","0.7","","-0.5","","92","","0.2","","1","","12","","","","100.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 07:00","2021","04","01","07:00","0.2","","-0.8","","93","","0.6","","1","","14","","","","100.56","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 08:00","2021","04","01","08:00","-0.6","","-1.6","","93","","0.3","","2","","15","","","","100.56","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 09:00","2021","04","01","09:00","-1.9","","-2.8","","93","","0.3","","2","","17","","","","100.57","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 10:00","2021","04","01","10:00","-1.5","","-3.5","","87","","0.2","","1","","17","","","","100.59","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 11:00","2021","04","01","11:00","-0.1","","-7.1","","59","","0.3","","2","","19","","","","100.53","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 12:00","2021","04","01","12:00","0.4","","-7.9","","54","","0.0","","2","","16","","","","100.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 13:00","2021","04","01","13:00","0.7","","-8.5","","50","","0.0","","2","","13","","","","100.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 14:00","2021","04","01","14:00","1.6","","-7.6","","50","","0.0","","3","","10","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 15:00","2021","04","01","15:00","1.7","","-8.7","","46","","0.0","","2","","14","","","","100.50","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 16:00","2021","04","01","16:00","1.9","","-8.9","","45","","0.0","","2","","12","","","","100.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 17:00","2021","04","01","17:00","0.7","","-10.0","","45","","0.0","","2","","14","","","","100.66","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 18:00","2021","04","01","18:00","-0.4","","-10.7","","46","","0.0","","36","","13","","","","100.77","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 19:00","2021","04","01","19:00","-2.6","","-12.7","","46","","0.0","","1","","18","","","","100.92","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 20:00","2021","04","01","20:00","-3.5","","-12.5","","50","","0.0","","2","","14","","","","101.03","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 21:00","2021","04","01","21:00","-4.4","","-13.5","","49","","0.0","","36","","12","","","","101.05","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 22:00","2021","04","01","22:00","-4.7","","-13.8","","49","","0.0","","2","","12","","","","101.05","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-01 23:00","2021","04","01","23:00","-4.8","","-13.2","","52","","0.0","","2","","11","","","","101.02","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 00:00","2021","04","02","00:00","-4.8","","-13.3","","51","","0.0","","1","","14","","","","101.00","","","","-10","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 01:00","2021","04","02","01:00","-4.9","","-13.7","","50","","0.0","","1","","11","","","","101.00","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 02:00","2021","04","02","02:00","-4.9","","-13.4","","51","","0.0","","1","","12","","","","101.00","","","","-10","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 03:00","2021","04","02","03:00","-5.0","","-13.4","","52","","0.0","","1","","10","","","","101.03","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 04:00","2021","04","02","04:00","-5.0","","-13.1","","53","","0.0","","1","","11","","","","101.07","","","","-10","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 05:00","2021","04","02","05:00","-6.1","","-15.1","","49","","0.0","","1","","11","","","","101.17","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 06:00","2021","04","02","06:00","-6.4","","-15.2","","50","","0.0","","1","","10","","","","101.25","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-04-02 07:00","2021","04","02","07:00","-5.9","","-15.6","","46","","0.0","","36","","13","","","","101.28","","","","-11","","NA"
