"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 00:00","2017","05","01","00:00","5.5","","4.8","","96","","1.8","","3","","8","","","","100.84","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 01:00","2017","05","01","01:00","5.4","","5.2","","98","","5.3","","3","","9","","","","100.73","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 02:00","2017","05","01","02:00","5.7","","5.5","","99","","3.2","","4","","7","","","","100.64","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 03:00","2017","05","01","03:00","6.0","","5.7","","98","","2.3","","6","","8","","","","100.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 04:00","2017","05","01","04:00","6.2","","6.0","","98","","1.9","","4","","6","","","","100.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 05:00","2017","05","01","05:00","6.4","","6.2","","98","","1.6","","4","","8","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 06:00","2017","05","01","06:00","6.8","","6.4","","98","","1.9","","6","","3","","","","100.42","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 07:00","2017","05","01","07:00","7.0","","6.7","","98","","3.1","","3","","7","","","","100.40","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 08:00","2017","05","01","08:00","7.4","","7.1","","98","","3.6","","7","","6","","","","100.35","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 09:00","2017","05","01","09:00","7.6","","7.2","","98","","1.3","","4","","7","","","","100.30","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 10:00","2017","05","01","10:00","7.8","","7.5","","98","","0.9","","3","","7","","","","100.27","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 11:00","2017","05","01","11:00","8.1","","7.7","","98","","1.4","","3","","5","","","","100.21","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 12:00","2017","05","01","12:00","8.3","","8.0","","98","","1.5","","3","","5","","","","100.14","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 13:00","2017","05","01","13:00","8.6","","8.3","","98","","0.6","","3","","7","","","","100.05","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 14:00","2017","05","01","14:00","9.0","","8.6","","97","","0.3","","2","","8","","","","99.98","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 15:00","2017","05","01","15:00","9.2","","8.8","","97","","0.9","","3","","7","","","","99.85","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 16:00","2017","05","01","16:00","9.5","","9.2","","98","","0.9","","2","","8","","","","99.71","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 17:00","2017","05","01","17:00","9.5","","9.2","","98","","0.2","","3","","9","","","","99.61","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 18:00","2017","05","01","18:00","9.4","","9.0","","98","","0.7","","2","","9","","","","99.47","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 19:00","2017","05","01","19:00","9.2","","9.0","","98","","1.2","","1","","15","","","","99.36","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 20:00","2017","05","01","20:00","8.6","","8.3","","98","","3.2","","34","","17","","","","99.68","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 21:00","2017","05","01","21:00","8.3","","7.9","","97","","6.8","","1","","12","","","","99.39","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 22:00","2017","05","01","22:00","8.1","","7.8","","98","","0.5","","7","","5","","","","99.44","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-01 23:00","2017","05","01","23:00","8.3","","8.1","","99","","0.8","","4","","5","","","","98.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 00:00","2017","05","02","00:00","9.4","","9.2","","99","","0.0","","1","","3","","","","99.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 01:00","2017","05","02","01:00","9.1","","8.9","","99","","0.0","","2","","4","","","","99.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 02:00","2017","05","02","02:00","8.7","","8.6","","99","","0.0","","2","","4","","","","98.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 03:00","2017","05","02","03:00","8.5","","8.4","","99","","0.0","","2","","8","","","","99.01","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 04:00","2017","05","02","04:00","8.5","","8.5","","100","","0.0","","2","","3","","","","99.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 05:00","2017","05","02","05:00","8.8","","8.8","","100","","0.0","","0","","1","","","","99.06","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 06:00","2017","05","02","06:00","12.9","","10.6","","86","","0.0","","21","","8","","","","99.07","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 07:00","2017","05","02","07:00","13.0","","10.4","","84","","0.0","","19","","9","","","","99.06","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 08:00","2017","05","02","08:00","13.4","","9.7","","78","","0.0","","20","","8","","","","98.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 09:00","2017","05","02","09:00","13.6","","9.2","","74","","0.0","","21","","9","","","","99.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 10:00","2017","05","02","10:00","15.5","","8.4","","63","","0.0","","21","","11","","","","98.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 11:00","2017","05","02","11:00","16.0","","7.7","","58","","0.0","","21","","13","","","","98.95","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 12:00","2017","05","02","12:00","15.9","","6.1","","52","","0.0","","20","","12","","","","98.93","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 13:00","2017","05","02","13:00","15.7","","7.5","","58","","0.0","","21","","11","","","","98.88","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 14:00","2017","05","02","14:00","16.2","","5.9","","51","","0.0","","23","","9","","","","98.83","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 15:00","2017","05","02","15:00","15.6","","6.0","","53","","0.0","","22","","9","","","","98.83","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 16:00","2017","05","02","16:00","14.7","","6.0","","56","","0.0","","20","","10","","","","98.85","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 17:00","2017","05","02","17:00","13.4","","6.6","","63","","0.0","","21","","6","","","","98.94","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 18:00","2017","05","02","18:00","11.9","","7.3","","74","","0.0","","20","","9","","","","99.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 19:00","2017","05","02","19:00","10.9","","6.7","","75","","0.0","","21","","8","","","","99.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 20:00","2017","05","02","20:00","10.6","","5.7","","72","","0.0","","20","","8","","","","99.03","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 21:00","2017","05","02","21:00","9.9","","5.0","","72","","0.0","","19","","9","","","","99.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 22:00","2017","05","02","22:00","9.6","","5.0","","73","","0.0","","21","","9","","","","99.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-02 23:00","2017","05","02","23:00","9.3","","5.0","","75","","0.0","","19","","9","","","","99.08","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 00:00","2017","05","03","00:00","9.1","","5.2","","77","","0.0","","21","","10","","","","99.10","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 01:00","2017","05","03","01:00","8.9","","5.4","","79","","0.0","","19","","9","","","","99.13","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 02:00","2017","05","03","02:00","8.6","","5.2","","79","","0.0","","20","","8","","","","99.14","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 03:00","2017","05","03","03:00","8.3","","5.0","","80","","0.0","","19","","7","","","","99.22","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 04:00","2017","05","03","04:00","8.1","","4.8","","80","","0.0","","19","","8","","","","99.30","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 05:00","2017","05","03","05:00","8.1","","4.6","","79","","0.0","","21","","7","","","","99.41","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 06:00","2017","05","03","06:00","7.9","","4.9","","81","","0.0","","22","","8","","","","99.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 07:00","2017","05","03","07:00","7.6","","3.8","","77","","0.0","","26","","8","","","","99.62","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 08:00","2017","05","03","08:00","7.2","","3.3","","76","","0.0","","1","","8","","","","99.74","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 09:00","2017","05","03","09:00","6.3","","1.7","","72","","0.0","","26","","6","","","","99.88","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 10:00","2017","05","03","10:00","6.7","","1.3","","68","","0.0","","2","","10","","","","99.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 11:00","2017","05","03","11:00","7.8","","1.0","","62","","0.0","","1","","9","","","","100.07","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-05-03 12:00","2017","05","03","12:00","8.4","","1.4","","61","","0.0","","3","","6","","","","100.17","","","","","","NA"
