"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 00:00","2016","12","01","00:00","7.5","","5.7","","88","","0.4","","18","","9","","","","99.16","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 01:00","2016","12","01","01:00","6.8","","5.2","","90","","0.6","","18","","7","","","","98.91","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 02:00","2016","12","01","02:00","7.0","","4.8","","86","","1.0","","16","","6","","","","98.85","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 03:00","2016","12","01","03:00","6.3","","5.4","","94","","4.5","","3","","4","","","","98.83","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 04:00","2016","12","01","04:00","5.7","","5.5","","99","","6.9","","10","","4","","","","98.87","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 05:00","2016","12","01","05:00","5.5","","5.3","","99","","3.1","","8","","3","","","","98.61","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 06:00","2016","12","01","06:00","6.9","","6.5","","98","","0.4","","20","","6","","","","98.63","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 07:00","2016","12","01","07:00","7.8","","7.3","","96","","2.4","","19","","6","","","","98.63","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 08:00","2016","12","01","08:00","8.1","","7.4","","96","","1.2","","19","","6","","","","98.66","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 09:00","2016","12","01","09:00","8.4","","6.3","","87","","0.0","","20","","9","","","","98.68","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 10:00","2016","12","01","10:00","7.8","","6.6","","92","","0.2","","19","","10","","","","98.74","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 11:00","2016","12","01","11:00","7.6","","5.7","","88","","0.6","","19","","10","","","","98.73","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 12:00","2016","12","01","12:00","6.9","","4.9","","87","","0.2","","19","","10","","","","98.78","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 13:00","2016","12","01","13:00","6.9","","4.9","","87","","0.0","","20","","9","","","","98.77","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 14:00","2016","12","01","14:00","7.1","","4.5","","83","","0.0","","19","","9","","","","98.79","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 15:00","2016","12","01","15:00","6.7","","4.1","","83","","0.0","","20","","7","","","","98.86","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 16:00","2016","12","01","16:00","6.5","","3.1","","79","","0.0","","22","","9","","","","98.91","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 17:00","2016","12","01","17:00","5.8","","3.2","","84","","0.0","","21","","10","","","","98.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 18:00","2016","12","01","18:00","5.2","","3.4","","88","","0.2","","21","","10","","","","99.05","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 19:00","2016","12","01","19:00","4.8","","3.2","","89","","0.0","","20","","8","","","","99.10","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 20:00","2016","12","01","20:00","4.9","","3.0","","87","","0.0","","20","","8","","","","99.15","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 21:00","2016","12","01","21:00","5.1","","3.0","","86","","0.0","","20","","8","","","","99.19","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 22:00","2016","12","01","22:00","5.1","","2.7","","84","","0.0","","22","","8","","","","99.23","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-12-01 23:00","2016","12","01","23:00","5.1","","2.6","","84","","0.0","","19","","6","","","","99.28","","","","","","NA"
