"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 00:00","2017","01","01","00:00","-6.4","","-6.9","","97","","0.5","","35","","1","","","","99.47","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 01:00","2017","01","01","01:00","-2.3","","-2.3","","100","","0.0","","19","","5","","","","99.48","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 02:00","2017","01","01","02:00","-3.4","","-4.2","","94","","0.4","","","","0","","","","99.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 03:00","2017","01","01","03:00","-3.1","","-3.5","","97","","0.3","","0","","1","","","","99.60","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 04:00","2017","01","01","04:00","-0.5","","-0.6","","99","","0.0","","20","","4","","","","99.62","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 05:00","2017","01","01","05:00","0.2","","0.0","","98","","0.3","","17","","7","","","","99.67","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 06:00","2017","01","01","06:00","-2.0","","-2.1","","99","","0.5","","18","","6","","","","99.87","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 07:00","2017","01","01","07:00","-2.9","","-3.7","","94","","0.2","","16","","7","","","","100.07","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 08:00","2017","01","01","08:00","-2.9","","-5.3","","83","","0.0","","21","","6","","","","100.26","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 09:00","2017","01","01","09:00","-2.6","","-5.5","","80","","0.0","","23","","7","","","","100.44","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 10:00","2017","01","01","10:00","-2.6","","-6.0","","77","","0.0","","20","","8","","","","100.66","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 11:00","2017","01","01","11:00","-3.1","","-6.5","","77","","0.0","","24","","7","","","","100.80","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 12:00","2017","01","01","12:00","-2.8","","-7.1","","72","","0.0","","20","","7","","","","100.88","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 13:00","2017","01","01","13:00","-2.1","","-7.1","","69","","0.0","","25","","6","","","","101.00","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 14:00","2017","01","01","14:00","-2.3","","-7.3","","69","","0.0","","21","","7","","","","101.14","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 15:00","2017","01","01","15:00","-2.9","","-7.7","","69","","0.0","","21","","6","","","","101.30","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 16:00","2017","01","01","16:00","-3.4","","-8.5","","68","","0.0","","19","","4","","","","101.41","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 17:00","2017","01","01","17:00","-3.7","","-8.5","","69","","0.0","","17","","3","","","","101.50","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 18:00","2017","01","01","18:00","-3.2","","-8.1","","69","","0.0","","16","","3","","","","101.63","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 19:00","2017","01","01","19:00","-3.1","","-7.8","","70","","0.0","","18","","2","","","","101.73","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 20:00","2017","01","01","20:00","-1.4","","-7.1","","65","","0.0","","25","","5","","","","101.78","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 21:00","2017","01","01","21:00","-1.8","","-6.8","","69","","0.0","","18","","4","","","","101.84","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 22:00","2017","01","01","22:00","-3.2","","-6.1","","81","","0.0","","21","","4","","","","101.85","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01 23:00","2017","01","01","23:00","-3.4","","-7.0","","76","","0.0","","22","","5","","","","101.90","","","","-5","","NA"
