"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 00:00","2018","04","01","00:00","6.8","","-3.2","","49","","0.0","","21","","8","","","","99.77","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 01:00","2018","04","01","01:00","6.4","","1.9","","73","","0.0","","20","","13","","","","99.63","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 02:00","2018","04","01","02:00","6.6","","2.3","","74","","0.0","","20","","12","","","","99.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 03:00","2018","04","01","03:00","7.3","","2.6","","72","","0.0","","20","","14","","","","99.44","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 04:00","2018","04","01","04:00","6.8","","2.9","","76","","0.0","","21","","12","","","","99.43","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 05:00","2018","04","01","05:00","5.9","","2.5","","79","","1.0","","20","","3","","","","99.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 06:00","2018","04","01","06:00","4.2","","-2.1","","63","","0.0","","24","","7","","","","99.70","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 07:00","2018","04","01","07:00","3.1","","-3.7","","61","","0.0","","21","","9","","","","99.90","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 08:00","2018","04","01","08:00","2.5","","-7.2","","49","","0.0","","22","","10","","","","100.08","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 09:00","2018","04","01","09:00","1.7","","-6.5","","54","","0.0","","22","","8","","","","100.21","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 10:00","2018","04","01","10:00","1.4","","-8.4","","48","","0.0","","25","","9","","","","100.37","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 11:00","2018","04","01","11:00","1.2","","-9.1","","46","","0.0","","25","","7","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 12:00","2018","04","01","12:00","1.1","","-9.4","","46","","0.0","","22","","9","","","","100.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 13:00","2018","04","01","13:00","1.1","","-10.6","","41","","0.0","","25","","7","","","","100.61","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 14:00","2018","04","01","14:00","1.5","","-11.9","","36","","0.0","","24","","10","","","","100.62","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 15:00","2018","04","01","15:00","2.0","","-11.2","","37","","0.0","","27","","9","","","","100.67","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 16:00","2018","04","01","16:00","2.0","","-11.3","","37","","0.0","","22","","7","","","","100.70","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 17:00","2018","04","01","17:00","1.7","","-13.4","","32","","0.0","","26","","7","","","","100.72","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 18:00","2018","04","01","18:00","1.1","","-12.2","","36","","0.0","","22","","5","","","","100.75","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 19:00","2018","04","01","19:00","0.8","","-11.5","","39","","0.0","","10","","3","","","","100.81","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 20:00","2018","04","01","20:00","0.0","","-10.9","","43","","0.0","","6","","2","","","","100.90","","","","-1","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 21:00","2018","04","01","21:00","-0.1","","-11.9","","41","","0.0","","7","","4","","","","100.93","","","","-1","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 22:00","2018","04","01","22:00","-0.5","","-12.7","","39","","0.0","","12","","2","","","","100.90","","","","-1","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-01 23:00","2018","04","01","23:00","-0.5","","-11.7","","42","","0.0","","22","","4","","","","100.92","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 00:00","2018","04","02","00:00","-0.5","","-11.0","","45","","0.0","","28","","2","","","","100.97","","","","-1","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 01:00","2018","04","02","01:00","-0.6","","-12.1","","41","","0.0","","27","","4","","","","100.98","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 02:00","2018","04","02","02:00","-0.9","","-11.2","","45","","0.0","","33","","6","","","","100.93","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 03:00","2018","04","02","03:00","-1.6","","-9.9","","53","","0.0","","3","","5","","","","100.91","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 04:00","2018","04","02","04:00","-1.8","","-10.6","","51","","0.0","","3","","4","","","","100.94","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 05:00","2018","04","02","05:00","-2.0","","-10.7","","52","","0.0","","9","","5","","","","100.97","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 06:00","2018","04","02","06:00","-2.0","","-10.7","","51","","0.0","","5","","3","","","","100.99","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 07:00","2018","04","02","07:00","-1.4","","-9.8","","53","","0.0","","19","","5","","","","101.06","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 08:00","2018","04","02","08:00","-0.6","","-9.6","","50","","0.0","","16","","6","","","","101.05","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 09:00","2018","04","02","09:00","-0.3","","-10.8","","45","","0.0","","29","","6","","","","101.05","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 10:00","2018","04","02","10:00","1.1","","-11.5","","39","","0.0","","19","","7","","","","101.01","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 11:00","2018","04","02","11:00","1.3","","-11.2","","39","","0.0","","22","","9","","","","101.01","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 12:00","2018","04","02","12:00","1.9","","-12.0","","35","","0.0","","23","","11","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 13:00","2018","04","02","13:00","2.9","","-10.8","","36","","0.0","","21","","9","","","","100.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 14:00","2018","04","02","14:00","2.9","","-9.6","","39","","0.0","","19","","9","","","","100.92","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 15:00","2018","04","02","15:00","3.5","","-9.8","","37","","0.0","","21","","11","","","","100.85","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 16:00","2018","04","02","16:00","3.7","","-9.2","","38","","0.0","","20","","8","","","","100.87","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 17:00","2018","04","02","17:00","4.1","","-8.4","","40","","0.0","","21","","10","","","","100.86","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 18:00","2018","04","02","18:00","3.7","","-8.1","","42","","0.0","","25","","3","","","","100.89","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 19:00","2018","04","02","19:00","3.2","","-7.6","","45","","0.0","","27","","3","","","","100.91","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 20:00","2018","04","02","20:00","2.4","","-6.6","","51","","0.0","","19","","2","","","","100.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 21:00","2018","04","02","21:00","2.6","","-6.9","","49","","0.0","","21","","3","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 22:00","2018","04","02","22:00","2.3","","-5.4","","56","","0.0","","22","","4","","","","100.96","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-02 23:00","2018","04","02","23:00","2.3","","-6.6","","52","","0.0","","20","","7","","","","100.95","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 00:00","2018","04","03","00:00","2.3","","-7.5","","48","","0.0","","19","","6","","","","100.98","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 01:00","2018","04","03","01:00","2.2","","-7.3","","49","","0.0","","20","","8","","","","100.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 02:00","2018","04","03","02:00","2.0","","-6.7","","52","","0.0","","21","","6","","","","100.98","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 03:00","2018","04","03","03:00","1.7","","-5.8","","57","","0.0","","21","","4","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 04:00","2018","04","03","04:00","1.7","","-5.4","","59","","0.0","","22","","4","","","","101.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 05:00","2018","04","03","05:00","1.3","","-5.5","","60","","0.0","","22","","2","","","","101.05","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 06:00","2018","04","03","06:00","0.9","","-5.6","","62","","0.0","","24","","3","","","","101.05","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-04-03 07:00","2018","04","03","07:00","1.6","","-5.7","","58","","0.0","","27","","3","","","","101.14","","","","","","NA"
