"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 00:00","2018","08","01","00:00","23.5","","17.9","","71","","0.0","","19","","1","","","","100.87","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 01:00","2018","08","01","01:00","23.5","","17.9","","71","","0.0","","18","","5","","","","100.81","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 02:00","2018","08","01","02:00","23.1","","17.9","","73","","0.0","","16","","5","","","","100.81","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 03:00","2018","08","01","03:00","23.0","","18.0","","73","","0.0","","18","","5","","","","100.83","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 04:00","2018","08","01","04:00","22.8","","17.8","","74","","0.0","","20","","6","","","","100.80","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 05:00","2018","08","01","05:00","22.7","","18.0","","75","","0.0","","19","","5","","","","100.81","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 06:00","2018","08","01","06:00","22.7","","18.0","","75","","0.0","","19","","7","","","","100.80","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 07:00","2018","08","01","07:00","23.0","","18.3","","75","","0.0","","19","","6","","","","100.78","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 08:00","2018","08","01","08:00","23.7","","18.5","","73","","0.0","","19","","6","","","","100.77","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 09:00","2018","08","01","09:00","23.9","","18.6","","72","","0.0","","15","","10","","","","100.72","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 10:00","2018","08","01","10:00","24.1","","18.8","","73","","0.0","","19","","7","","","","100.69","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 11:00","2018","08","01","11:00","24.1","","19.5","","76","","0.0","","18","","8","","","","100.63","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 12:00","2018","08","01","12:00","25.5","","18.4","","65","","0.0","","17","","7","","","","100.59","","32","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 13:00","2018","08","01","13:00","27.2","","19.1","","61","","0.0","","17","","8","","","","100.53","","34","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 14:00","2018","08","01","14:00","28.2","","19.8","","61","","0.0","","20","","9","","","","100.49","","36","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 15:00","2018","08","01","15:00","28.0","","19.7","","61","","0.0","","17","","9","","","","100.45","","35","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 16:00","2018","08","01","16:00","27.0","","20.2","","66","","0.0","","16","","8","","","","100.43","","35","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 17:00","2018","08","01","17:00","26.9","","20.4","","68","","0.0","","19","","9","","","","100.40","","35","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 18:00","2018","08","01","18:00","26.5","","20.6","","70","","0.0","","18","","6","","","","100.34","","35","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 19:00","2018","08","01","19:00","26.1","","20.8","","73","","0.0","","18","","5","","","","100.32","","34","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 20:00","2018","08","01","20:00","25.3","","20.7","","76","","0.0","","18","","6","","","","100.34","","33","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 21:00","2018","08","01","21:00","24.9","","20.7","","78","","0.0","","19","","6","","","","100.36","","33","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 22:00","2018","08","01","22:00","22.7","","21.8","","95","","5.3","","20","","10","","","","100.39","","32","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-01 23:00","2018","08","01","23:00","22.8","","21.9","","95","","2.0","","19","","7","","","","100.37","","32","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 00:00","2018","08","02","00:00","23.0","","21.7","","92","","0.0","","20","","5","","","","100.35","","32","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 01:00","2018","08","02","01:00","22.7","","21.4","","93","","0.3","","18","","6","","","","100.34","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 02:00","2018","08","02","02:00","22.3","","20.8","","91","","0.0","","18","","7","","","","100.30","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 03:00","2018","08","02","03:00","22.3","","20.5","","90","","0.0","","19","","7","","","","100.28","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 04:00","2018","08","02","04:00","22.1","","20.1","","88","","0.0","","20","","9","","","","100.30","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 05:00","2018","08","02","05:00","22.1","","19.9","","87","","0.0","","19","","8","","","","100.33","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 06:00","2018","08","02","06:00","22.1","","19.8","","87","","0.0","","21","","7","","","","100.42","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 07:00","2018","08","02","07:00","23.1","","18.9","","77","","0.0","","20","","8","","","","100.46","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 08:00","2018","08","02","08:00","22.9","","18.2","","75","","0.0","","20","","9","","","","100.55","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 09:00","2018","08","02","09:00","23.6","","18.4","","73","","0.0","","22","","7","","","","100.59","","30","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 10:00","2018","08","02","10:00","24.3","","18.5","","70","","0.0","","19","","5","","","","100.65","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 11:00","2018","08","02","11:00","24.8","","18.7","","69","","0.0","","20","","5","","","","100.67","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 12:00","2018","08","02","12:00","25.2","","17.8","","63","","0.0","","23","","6","","","","100.66","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 13:00","2018","08","02","13:00","26.0","","17.1","","58","","0.0","","27","","4","","","","100.73","","31","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 14:00","2018","08","02","14:00","26.8","","17.7","","57","","0.0","","23","","5","","","","100.72","","33","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 15:00","2018","08","02","15:00","27.3","","17.0","","53","","0.0","","26","","5","","","","100.73","","33","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2018-08-02 16:00","2018","08","02","16:00","27.4","","17.8","","56","","0.0","","26","","3","","","","100.72","","33","","","","NA"
