"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 00:00","2016","08","01","00:00","22.0","","14.6","","63","","0.0","","36","","4","","","","101.02","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 01:00","2016","08","01","01:00","21.8","","15.0","","65","","0.0","","1","","4","","","","101.00","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 02:00","2016","08","01","02:00","21.0","","14.4","","66","","0.0","","2","","5","","","","100.99","","25","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 03:00","2016","08","01","03:00","20.3","","15.3","","73","","0.0","","4","","3","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 04:00","2016","08","01","04:00","19.9","","14.5","","71","","0.0","","36","","10","","","","101.01","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 05:00","2016","08","01","05:00","19.5","","16.2","","82","","0.0","","36","","10","","","","101.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 06:00","2016","08","01","06:00","19.0","","16.4","","85","","0.0","","4","","6","","","","101.06","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 07:00","2016","08","01","07:00","19.0","","15.9","","82","","0.0","","3","","7","","","","101.08","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 08:00","2016","08","01","08:00","19.6","","16.1","","80","","0.0","","2","","10","","","","101.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 09:00","2016","08","01","09:00","20.5","","16.0","","76","","0.0","","4","","6","","","","101.12","","25","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-08-01 10:00","2016","08","01","10:00","21.4","","16.6","","74","","0.0","","6","","6","","","","101.10","","26","","","","NA"
