"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 00:00","2016","07","01","00:00","21.0","","11.6","","55","","0.0","","24","","6","","","","100.56","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 01:00","2016","07","01","01:00","20.0","","11.9","","59","","0.0","","23","","3","","","","100.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 02:00","2016","07","01","02:00","19.6","","10.5","","56","","0.0","","28","","3","","","","100.50","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 03:00","2016","07","01","03:00","17.6","","11.8","","69","","0.0","","22","","2","","","","100.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 04:00","2016","07","01","04:00","16.8","","12.3","","75","","0.0","","22","","3","","","","100.60","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 05:00","2016","07","01","05:00","17.6","","11.9","","69","","0.0","","21","","5","","","","100.57","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 06:00","2016","07","01","06:00","19.2","","10.8","","58","","0.0","","21","","4","","","","100.58","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 07:00","2016","07","01","07:00","21.6","","9.7","","47","","0.0","","20","","5","","","","100.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 08:00","2016","07","01","08:00","22.6","","7.3","","37","","0.0","","17","","5","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 09:00","2016","07","01","09:00","24.1","","10.1","","41","","0.0","","14","","8","","","","100.45","","25","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 10:00","2016","07","01","10:00","25.2","","10.8","","40","","0.0","","17","","6","","","","100.39","","27","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 11:00","2016","07","01","11:00","26.9","","12.6","","41","","0.0","","18","","6","","","","100.34","","29","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 12:00","2016","07","01","12:00","25.7","","12.6","","44","","0.0","","18","","7","","","","100.29","","28","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2016-07-01 13:00","2016","07","01","13:00","26.6","","12.0","","40","","0.0","","17","","10","","","","100.20","","29","","","","NA"
