"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 00:00","2019","01","01","00:00","0.3","","-0.2","","97","","1.0","","16","","4","","","","99.47","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 01:00","2019","01","01","01:00","1.4","","0.8","","96","","1.1","","18","","5","","","","99.17","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 02:00","2019","01","01","02:00","1.4","","0.8","","96","","2.8","","18","","4","","","","98.91","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 03:00","2019","01","01","03:00","1.8","","1.2","","96","","6.0","","16","","5","","","","98.71","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 04:00","2019","01","01","04:00","2.3","","1.8","","97","","4.3","","28","","3","","","","98.44","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 05:00","2019","01","01","05:00","0.6","","0.1","","97","","3.8","","1","","11","","","","98.29","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 06:00","2019","01","01","06:00","0.7","","0.3","","97","","2.1","","36","","11","","","","98.34","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 07:00","2019","01","01","07:00","-0.5","","-1.3","","94","","0.5","","36","","14","","","","98.70","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 08:00","2019","01","01","08:00","-0.1","","-1.6","","90","","0.0","","35","","9","","","","99.10","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 09:00","2019","01","01","09:00","0.5","","-2.5","","80","","0.0","","1","","9","","","","99.46","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 10:00","2019","01","01","10:00","0.8","","-3.0","","75","","0.2","","1","","12","","","","99.71","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 11:00","2019","01","01","11:00","0.9","","-4.2","","68","","0.0","","35","","13","","","","99.89","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 12:00","2019","01","01","12:00","0.9","","-4.6","","67","","0.0","","36","","14","","","","100.07","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 13:00","2019","01","01","13:00","0.4","","-5.8","","63","","0.0","","36","","13","","","","100.24","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 14:00","2019","01","01","14:00","-0.2","","-6.9","","61","","0.0","","36","","11","","","","100.32","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 15:00","2019","01","01","15:00","-1.0","","-8.1","","59","","0.0","","36","","16","","","","100.55","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 16:00","2019","01","01","16:00","-2.6","","-13.4","","43","","0.0","","36","","14","","","","100.76","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 17:00","2019","01","01","17:00","-3.8","","-12.8","","49","","0.0","","35","","10","","","","101.02","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 18:00","2019","01","01","18:00","-6.0","","-12.0","","63","","0.0","","35","","12","","","","101.18","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 19:00","2019","01","01","19:00","-7.7","","-14.2","","60","","0.0","","34","","8","","","","101.27","","","","-12","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 20:00","2019","01","01","20:00","-8.6","","-15.2","","59","","0.0","","33","","8","","","","101.39","","","","-13","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 21:00","2019","01","01","21:00","-9.3","","-15.8","","59","","0.0","","33","","7","","","","101.44","","","","-13","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 22:00","2019","01","01","22:00","-9.9","","-16.0","","61","","0.0","","34","","6","","","","101.49","","","","-13","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01 23:00","2019","01","01","23:00","-10.5","","-16.1","","64","","0.0","","33","","11","","","","101.47","","","","-16","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 00:00","2019","01","02","00:00","-11.2","","-16.4","","65","","0.0","","34","","3","","","","101.57","","","","-13","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 01:00","2019","01","02","01:00","-11.7","","-15.9","","71","","0.0","","0","","1","","","","101.62","","","","-12","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 02:00","2019","01","02","02:00","-12.4","","-16.6","","71","","0.0","","33","","8","","","","101.68","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 03:00","2019","01","02","03:00","-12.7","","-16.7","","72","","0.0","","32","","7","","","","101.72","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 04:00","2019","01","02","04:00","-13.6","","-18.9","","64","","0.0","","1","","8","","","","101.76","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 05:00","2019","01","02","05:00","-13.7","","-19.1","","63","","0.0","","2","","6","","","","101.86","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 06:00","2019","01","02","06:00","-14.0","","-18.5","","69","","0.0","","2","","7","","","","101.95","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 07:00","2019","01","02","07:00","-14.4","","-18.2","","72","","0.0","","36","","7","","","","102.03","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 08:00","2019","01","02","08:00","-14.8","","-18.6","","73","","0.0","","5","","5","","","","102.08","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 09:00","2019","01","02","09:00","-14.8","","-19.9","","65","","0.0","","2","","5","","","","102.07","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 10:00","2019","01","02","10:00","-13.6","","-18.8","","65","","0.2","","4","","4","","","","102.09","","","","-16","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 11:00","2019","01","02","11:00","-12.8","","-17.3","","69","","0.0","","36","","6","","","","102.04","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 12:00","2019","01","02","12:00","-11.4","","-16.9","","64","","0.0","","1","","4","","","","101.94","","","","-14","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 13:00","2019","01","02","13:00","-10.8","","-16.9","","61","","0.0","","36","","4","","","","101.91","","","","-13","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 14:00","2019","01","02","14:00","-9.5","","-15.3","","63","","0.0","","4","","3","","","","101.84","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 15:00","2019","01","02","15:00","-9.5","","-17.7","","51","","0.0","","17","","4","","","","101.81","","","","-12","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 16:00","2019","01","02","16:00","-11.2","","-15.5","","71","","0.0","","4","","7","","","","101.72","","","","-15","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 17:00","2019","01","02","17:00","-11.8","","-15.3","","75","","0.0","","3","","6","","","","101.64","","","","-16","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 18:00","2019","01","02","18:00","-12.2","","-15.3","","78","","0.0","","2","","5","","","","101.53","","","","-15","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 19:00","2019","01","02","19:00","-12.5","","-15.6","","77","","0.0","","4","","8","","","","101.42","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 20:00","2019","01","02","20:00","-12.5","","-15.6","","78","","0.0","","2","","6","","","","101.33","","","","-16","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 21:00","2019","01","02","21:00","-12.6","","-15.6","","78","","0.0","","2","","6","","","","101.19","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 22:00","2019","01","02","22:00","-13.0","","-16.0","","78","","0.0","","36","","13","","","","101.07","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-02 23:00","2019","01","02","23:00","-12.6","","-15.9","","77","","0.0","","2","","9","","","","100.91","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 00:00","2019","01","03","00:00","-12.9","","-16.6","","74","","0.0","","3","","8","","","","100.79","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 01:00","2019","01","03","01:00","-13.3","","-16.4","","78","","0.0","","2","","11","","","","100.61","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 02:00","2019","01","03","02:00","-13.2","","-15.2","","85","","0.8","","2","","9","","","","100.50","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 03:00","2019","01","03","03:00","-12.7","","-14.4","","86","","0.9","","2","","12","","","","100.40","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 04:00","2019","01","03","04:00","-13.3","","-15.2","","86","","0.6","","2","","12","","","","100.30","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 05:00","2019","01","03","05:00","-13.6","","-15.7","","84","","0.2","","1","","15","","","","100.26","","","","-21","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 06:00","2019","01","03","06:00","-13.6","","-15.6","","85","","0.2","","1","","11","","","","100.21","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 07:00","2019","01","03","07:00","-12.9","","-14.9","","85","","0.0","","2","","11","","","","100.26","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 08:00","2019","01","03","08:00","-12.7","","-14.5","","86","","0.0","","2","","10","","","","100.28","","","","-18","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 09:00","2019","01","03","09:00","-12.2","","-14.3","","84","","0.0","","2","","7","","","","100.37","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 10:00","2019","01","03","10:00","-11.8","","-14.1","","84","","0.0","","3","","7","","","","100.46","","","","-16","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 11:00","2019","01","03","11:00","-9.0","","-11.7","","80","","0.0","","21","","5","","","","100.35","","","","-12","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 12:00","2019","01","03","12:00","-9.1","","-12.2","","78","","0.0","","25","","4","","","","100.30","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 13:00","2019","01","03","13:00","-8.5","","-11.8","","77","","0.0","","27","","4","","","","100.28","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 14:00","2019","01","03","14:00","-8.2","","-11.1","","79","","0.0","","20","","6","","","","100.28","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 15:00","2019","01","03","15:00","-7.4","","-10.2","","80","","0.0","","19","","6","","","","100.26","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 16:00","2019","01","03","16:00","-6.6","","-9.3","","81","","0.0","","26","","9","","","","100.32","","","","-11","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 17:00","2019","01","03","17:00","-6.1","","-8.5","","83","","0.0","","25","","8","","","","100.35","","","","-10","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 18:00","2019","01","03","18:00","-5.6","","-7.8","","85","","0.0","","23","","4","","","","100.36","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 19:00","2019","01","03","19:00","-5.2","","-7.1","","86","","0.0","","19","","5","","","","100.34","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 20:00","2019","01","03","20:00","-5.4","","-6.8","","90","","0.0","","21","","8","","","","100.30","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 21:00","2019","01","03","21:00","-5.4","","-6.8","","90","","0.0","","20","","7","","","","100.25","","","","-9","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 22:00","2019","01","03","22:00","-5.1","","-6.4","","90","","0.0","","21","","6","","","","100.24","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-03 23:00","2019","01","03","23:00","-4.6","","-5.9","","90","","0.0","","21","","6","","","","100.17","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-04 00:00","2019","01","04","00:00","-3.9","","-5.3","","90","","0.0","","20","","7","","","","100.10","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-04 01:00","2019","01","04","01:00","-3.0","","-4.3","","91","","0.3","","17","","6","","","","100.08","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-04 02:00","2019","01","04","02:00","-2.2","","-2.9","","94","","0.6","","18","","7","","","","100.07","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2019-01-04 03:00","2019","01","04","03:00","-1.5","","-2.0","","96","","1.0","","19","","8","","","","99.92","","","","-5","","NA"
