"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 00:00","2014","12","01","00:00","5.6","","3.9","","89","","0.2","","21","","5","","","","99.95","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 01:00","2014","12","01","01:00","6.2","","4.3","","88","","0.0","","17","","2","","","","100.01","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 02:00","2014","12","01","02:00","5.1","","4.1","","93","","0.0","","22","","4","","","","100.08","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 03:00","2014","12","01","03:00","6.1","","5.8","","98","","0.4","","19","","2","","","","100.13","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 04:00","2014","12","01","04:00","6.9","","6.3","","96","","0.0","","23","","4","","","","100.20","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 05:00","2014","12","01","05:00","6.0","","4.4","","89","","0.0","","26","","7","","","","100.31","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 06:00","2014","12","01","06:00","4.8","","2.8","","86","","0.0","","28","","5","","","","100.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 07:00","2014","12","01","07:00","3.7","","0.6","","81","","","","21","","4","","","","100.72","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 08:00","2014","12","01","08:00","2.6","","-0.9","","78","","","","21","","8","","","","100.89","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 09:00","2014","12","01","09:00","1.7","","-3.4","","69","","","","20","","6","","","","101.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 10:00","2014","12","01","10:00","1.1","","-4.5","","66","","","","21","","4","","","","101.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 11:00","2014","12","01","11:00","0.3","","-5.5","","65","","","","22","","9","","","","101.17","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 12:00","2014","12","01","12:00","0.7","","-7.2","","56","","","","17","","5","","","","101.22","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 13:00","2014","12","01","13:00","0.1","","-7.7","","56","","","","20","","5","","","","101.26","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 14:00","2014","12","01","14:00","0.2","","-8.6","","52","","","","26","","6","","","","101.36","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 15:00","2014","12","01","15:00","-0.5","","-9.8","","49","","","","20","","6","","","","101.51","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 16:00","2014","12","01","16:00","-1.3","","-11.9","","44","","","","27","","4","","","","101.67","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 17:00","2014","12","01","17:00","-1.6","","-12.2","","44","","","","20","","2","","","","101.75","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 18:00","2014","12","01","18:00","-1.8","","-12.8","","43","","","","22","","3","","","","101.84","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-12-01 19:00","2014","12","01","19:00","-1.5","","-11.4","","47","","","","23","","4","","","","101.96","","","","-3","","NA"
