"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 00:00","2021","06","01","00:00","14.6","","6.0","","56","","0.0","","19","","5","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 01:00","2021","06","01","01:00","14.7","","4.2","","49","","0.0","","21","","5","","","","100.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 02:00","2021","06","01","02:00","14.1","","4.7","","53","","0.0","","22","","6","","","","100.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 03:00","2021","06","01","03:00","13.5","","5.4","","58","","0.0","","21","","6","","","","101.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 04:00","2021","06","01","04:00","13.5","","5.6","","59","","0.0","","25","","7","","","","101.04","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 05:00","2021","06","01","05:00","13.7","","5.1","","56","","0.0","","23","","6","","","","101.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 06:00","2021","06","01","06:00","14.4","","6.7","","60","","0.0","","22","","5","","","","101.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 07:00","2021","06","01","07:00","14.9","","4.8","","51","","0.0","","20","","5","","","","101.15","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 08:00","2021","06","01","08:00","15.2","","5.3","","51","","0.0","","21","","7","","","","101.18","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 09:00","2021","06","01","09:00","16.9","","6.5","","50","","0.0","","19","","5","","","","101.19","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 10:00","2021","06","01","10:00","17.9","","6.2","","46","","0.0","","22","","6","","","","101.18","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 11:00","2021","06","01","11:00","19.9","","8.5","","47","","0.0","","20","","8","","","","101.13","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 12:00","2021","06","01","12:00","22.6","","7.7","","38","","0.0","","21","","9","","","","101.05","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 13:00","2021","06","01","13:00","22.6","","7.5","","38","","0.0","","20","","9","","","","101.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 14:00","2021","06","01","14:00","23.2","","6.9","","35","","0.0","","23","","8","","","","100.94","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 15:00","2021","06","01","15:00","24.0","","8.6","","38","","0.0","","21","","9","","","","100.91","","25","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 16:00","2021","06","01","16:00","24.1","","7.4","","34","","0.0","","20","","11","","","","100.90","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 17:00","2021","06","01","17:00","22.9","","7.7","","38","","0.0","","20","","10","","","","100.94","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 18:00","2021","06","01","18:00","21.0","","7.5","","42","","0.0","","21","","5","","","","100.98","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 19:00","2021","06","01","19:00","20.9","","7.6","","42","","0.0","","21","","6","","","","101.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 20:00","2021","06","01","20:00","20.5","","7.9","","44","","0.0","","22","","3","","","","101.08","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 21:00","2021","06","01","21:00","19.5","","8.4","","49","","0.0","","22","","3","","","","101.11","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 22:00","2021","06","01","22:00","17.5","","9.7","","60","","0.0","","23","","9","","","","101.14","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-01 23:00","2021","06","01","23:00","17.1","","8.7","","58","","0.0","","21","","3","","","","101.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 00:00","2021","06","02","00:00","17.8","","7.1","","50","","0.0","","20","","4","","","","101.11","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 01:00","2021","06","02","01:00","17.2","","7.1","","51","","0.0","","23","","5","","","","101.10","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 02:00","2021","06","02","02:00","16.5","","7.9","","57","","0.0","","23","","5","","","","101.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 03:00","2021","06","02","03:00","15.9","","7.9","","59","","0.0","","26","","10","","","","101.11","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 04:00","2021","06","02","04:00","15.5","","8.1","","62","","0.0","","28","","12","","","","101.12","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 05:00","2021","06","02","05:00","15.3","","8.2","","63","","0.0","","27","","14","","","","101.18","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 06:00","2021","06","02","06:00","16.1","","8.4","","60","","0.0","","27","","14","","","","101.20","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 07:00","2021","06","02","07:00","18.1","","8.9","","55","","0.0","","21","","6","","","","101.24","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 08:00","2021","06","02","08:00","20.8","","9.3","","48","","0.0","","22","","4","","","","101.26","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 09:00","2021","06","02","09:00","21.8","","8.6","","43","","0.0","","21","","6","","","","101.26","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 10:00","2021","06","02","10:00","23.0","","8.1","","38","","0.0","","26","","6","","","","101.23","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 11:00","2021","06","02","11:00","24.4","","7.0","","33","","0.0","","25","","6","","","","101.20","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 12:00","2021","06","02","12:00","25.4","","4.8","","26","","0.0","","28","","7","","","","101.15","","25","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 13:00","2021","06","02","13:00","25.8","","6.3","","29","","0.0","","20","","11","","","","101.09","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 14:00","2021","06","02","14:00","26.5","","6.5","","28","","0.0","","20","","10","","","","101.03","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 15:00","2021","06","02","15:00","26.7","","4.1","","23","","0.0","","23","","6","","","","100.96","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 16:00","2021","06","02","16:00","27.2","","7.0","","28","","0.0","","23","","6","","","","100.91","","27","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 17:00","2021","06","02","17:00","26.7","","7.0","","28","","0.0","","23","","7","","","","100.86","","27","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 18:00","2021","06","02","18:00","25.7","","7.6","","32","","0.0","","19","","7","","","","100.86","","26","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2021-06-02 19:00","2021","06","02","19:00","23.9","","7.9","","36","","0.0","","19","","3","","","","100.83","","","","","","NA"
