"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 00:00","2020","02","01","00:00","-5.2","","-7.5","","84","","0.0","","3","","6","","","","101.15","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 01:00","2020","02","01","01:00","-5.4","","-7.0","","89","","0.0","","2","","3","","","","101.07","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 02:00","2020","02","01","02:00","-5.6","","-7.1","","89","","0.0","","34","","2","","","","101.02","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 03:00","2020","02","01","03:00","-5.5","","-6.9","","90","","0.0","","1","","4","","","","100.95","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 04:00","2020","02","01","04:00","-4.9","","-6.5","","89","","0.0","","31","","5","","","","100.94","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 05:00","2020","02","01","05:00","-4.8","","-6.9","","85","","0.0","","0","","1","","","","100.92","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 06:00","2020","02","01","06:00","-4.9","","-7.1","","84","","0.0","","0","","1","","","","100.89","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 07:00","2020","02","01","07:00","-5.2","","-7.3","","86","","0.0","","24","","3","","","","100.86","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 08:00","2020","02","01","08:00","-5.6","","-7.5","","87","","0.0","","27","","4","","","","100.81","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 09:00","2020","02","01","09:00","-6.0","","-8.1","","85","","0.0","","26","","2","","","","100.85","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 10:00","2020","02","01","10:00","-4.5","","-8.5","","74","","0.2","","31","","2","","","","100.80","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 11:00","2020","02","01","11:00","-3.0","","-9.4","","62","","0.2","","10","","2","","","","100.70","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 12:00","2020","02","01","12:00","-2.7","","-8.9","","62","","0.0","","2","","4","","","","100.58","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 13:00","2020","02","01","13:00","-1.7","","-7.4","","65","","0.0","","11","","4","","","","100.44","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 14:00","2020","02","01","14:00","-1.5","","-7.5","","63","","0.0","","23","","1","","","","100.31","","","","-2","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 15:00","2020","02","01","15:00","-1.7","","-7.4","","65","","0.0","","19","","4","","","","100.24","","","","-3","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 16:00","2020","02","01","16:00","-2.2","","-6.7","","71","","0.0","","17","","5","","","","100.17","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 17:00","2020","02","01","17:00","-2.6","","-6.8","","73","","0.0","","28","","5","","","","100.13","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 18:00","2020","02","01","18:00","-2.7","","-6.7","","74","","0.0","","31","","4","","","","100.07","","","","-4","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 19:00","2020","02","01","19:00","-3.1","","-6.2","","79","","0.0","","19","","5","","","","100.00","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 20:00","2020","02","01","20:00","-3.3","","-6.4","","79","","0.0","","25","","4","","","","99.98","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 21:00","2020","02","01","21:00","-3.6","","-6.4","","81","","0.0","","26","","3","","","","99.94","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 22:00","2020","02","01","22:00","-4.4","","-6.8","","83","","0.0","","23","","2","","","","99.86","","","","-5","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-01 23:00","2020","02","01","23:00","-5.4","","-7.6","","85","","0.2","","21","","2","","","","99.76","","","","-6","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 00:00","2020","02","02","00:00","-5.9","","-7.8","","86","","0.0","","33","","2","","","","99.67","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 01:00","2020","02","02","01:00","-6.0","","-7.8","","87","","0.2","","27","","2","","","","99.60","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 02:00","2020","02","02","02:00","-5.9","","-7.4","","89","","0.0","","30","","4","","","","99.54","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 03:00","2020","02","02","03:00","-6.8","","-8.5","","87","","0.0","","31","","3","","","","99.47","","","","-8","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 04:00","2020","02","02","04:00","-6.2","","-7.8","","89","","0.0","","27","","2","","","","99.44","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 05:00","2020","02","02","05:00","-5.9","","-7.2","","91","","0.0","","34","","2","","","","99.40","","","","-7","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-02-02 06:00","2020","02","02","06:00","-6.2","","-7.2","","92","","0.0","","31","","2","","","","99.35","","","","-7","","NA"
