"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 00:00","2020","10","01","00:00","12.9","","9.1","","78","","0.0","","22","","5","","","","99.46","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 01:00","2020","10","01","01:00","13.4","","8.5","","72","","0.0","","20","","7","","","","99.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 02:00","2020","10","01","02:00","12.8","","9.0","","78","","0.0","","21","","4","","","","99.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 03:00","2020","10","01","03:00","12.4","","9.7","","83","","0.5","","20","","5","","","","99.52","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 04:00","2020","10","01","04:00","12.9","","9.5","","80","","0.2","","20","","4","","","","99.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 05:00","2020","10","01","05:00","12.8","","9.4","","80","","0.0","","21","","8","","","","99.62","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 06:00","2020","10","01","06:00","12.7","","9.2","","79","","0.0","","21","","8","","","","99.68","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 07:00","2020","10","01","07:00","13.0","","8.8","","76","","0.0","","20","","8","","","","99.73","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 08:00","2020","10","01","08:00","14.2","","9.2","","72","","0.0","","21","","6","","","","99.81","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 09:00","2020","10","01","09:00","14.7","","9.8","","72","","0.0","","25","","10","","","","99.86","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 10:00","2020","10","01","10:00","14.8","","10.3","","75","","0.0","","21","","8","","","","99.92","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 11:00","2020","10","01","11:00","14.5","","10.1","","75","","0.0","","20","","6","","","","99.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 12:00","2020","10","01","12:00","17.7","","10.4","","62","","0.0","","21","","6","","","","99.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 13:00","2020","10","01","13:00","17.7","","9.0","","57","","0.0","","22","","10","","","","99.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 14:00","2020","10","01","14:00","17.3","","9.1","","59","","0.0","","21","","9","","","","100.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 15:00","2020","10","01","15:00","17.5","","8.6","","56","","0.0","","24","","9","","","","100.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 16:00","2020","10","01","16:00","16.5","","9.5","","63","","0.3","","26","","5","","","","100.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 17:00","2020","10","01","17:00","15.2","","8.8","","65","","0.0","","24","","4","","","","100.16","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 18:00","2020","10","01","18:00","14.9","","9.7","","71","","0.0","","22","","4","","","","100.22","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 19:00","2020","10","01","19:00","12.9","","8.6","","75","","0.2","","30","","3","","","","100.34","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 20:00","2020","10","01","20:00","12.7","","9.4","","80","","0.0","","23","","1","","","","100.37","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 21:00","2020","10","01","21:00","12.8","","9.0","","78","","0.0","","23","","5","","","","100.43","","","","","","NA"
